TimeCreated,Id,MachineName,Username,TargetDomain,LogonType,FailureReason,Source_IP
17/06/2026 10:49:09 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:48:48 PM,4625,DESKTOP-2N2A2TE,ADMIS,-,3,NTLM,185.118.79.30
17/06/2026 10:48:47 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,45.238.132.70
17/06/2026 10:48:36 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:48:04 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:48:02 PM,4625,DESKTOP-2N2A2TE,ALEX,-,3,NTLM,185.118.79.30
17/06/2026 10:47:31 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:47:16 PM,4625,DESKTOP-2N2A2TE,ADM,-,3,NTLM,185.118.79.30
17/06/2026 10:46:59 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:46:55 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,45.238.132.70
17/06/2026 10:46:29 PM,4625,DESKTOP-2N2A2TE,ACCOUNTS,-,3,NTLM,185.118.79.30
17/06/2026 10:46:27 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:45:55 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:45:43 PM,4625,DESKTOP-2N2A2TE,ROOT,-,3,NTLM,185.118.79.30
17/06/2026 10:45:22 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:45:00 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,45.238.132.70
17/06/2026 10:44:56 PM,4625,DESKTOP-2N2A2TE,DOC,-,3,NTLM,185.118.79.30
17/06/2026 10:44:51 PM,4625,DESKTOP-2N2A2TE,8,-,3,NTLM,82.67.135.231
17/06/2026 10:44:50 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:44:18 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:44:07 PM,4625,DESKTOP-2N2A2TE,HP1,-,3,NTLM,185.118.79.30
17/06/2026 10:43:45 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:43:21 PM,4625,DESKTOP-2N2A2TE,TEMP,-,3,NTLM,185.118.79.30
17/06/2026 10:43:13 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:43:08 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,45.238.132.70
17/06/2026 10:42:40 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:42:35 PM,4625,DESKTOP-2N2A2TE,HP,-,3,NTLM,185.118.79.30
17/06/2026 10:42:30 PM,4625,DESKTOP-2N2A2TE,Administrator,-,3,NTLM,66.150.198.186
17/06/2026 10:42:08 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:41:48 PM,4625,DESKTOP-2N2A2TE,PC1,-,3,NTLM,185.118.79.30
17/06/2026 10:41:36 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:41:15 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,45.238.132.70
17/06/2026 10:41:03 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:41:01 PM,4625,DESKTOP-2N2A2TE,PC,-,3,NTLM,185.118.79.30
17/06/2026 10:40:31 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:40:15 PM,4625,DESKTOP-2N2A2TE,MICROSOFT,-,3,NTLM,185.118.79.30
17/06/2026 10:39:59 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:39:28 PM,4625,DESKTOP-2N2A2TE,LOCALADMIN,-,3,NTLM,185.118.79.30
17/06/2026 10:39:27 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:39:21 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,45.238.132.70
17/06/2026 10:39:20 PM,4625,DESKTOP-2N2A2TE,Administrator,-,3,NTLM,62.171.169.75
17/06/2026 10:38:54 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:38:41 PM,4625,DESKTOP-2N2A2TE,?????????,-,3,NTLM,185.118.79.30
17/06/2026 10:38:22 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
